# divergence-triage.tsv — the loop's memory of which divergent-copy candidates
# have already been JUDGED, so future iterations don't re-eyeball the same safe
# forks. Consumed by diff-divergent-fn.sh: `--scan` annotates each candidate with
# its status here; `--scan --new` shows ONLY untriaged (NEW) or re-drifted ones.
#
# Format (TAB-separated):  NAME <TAB> STATUS <TAB> SIM_AT_TRIAGE <TAB> REASON
#   STATUS  = SAFE   (a legitimate fork of copies that are MEANT TO STAY IN SYNC —
#                     so a later sim change IS signal that one drifted and wants a
#                     re-check; see SIM_AT_TRIAGE below)
#           | FORK   (an INTENTIONAL per-app copy that is SUPPOSED to keep diverging:
#                     two apps' fetch interceptors, two endpoints' getDoc against
#                     different tables, etc. These ARE real related copies (unlike an
#                     IGNORE collision), but their drift is EXPECTED and carries no bug
#                     signal — so they are hidden PERMANENTLY, never re-flagged on sim
#                     drift. Use FORK (not SAFE) when the two copies are deliberately
#                     different per context and re-reviewing them every scan is pure
#                     recurring noise. SIM is reference-only on FORK rows.)
#           | BUG    (open — fix it)
#           | IGNORE (NOT a divergent copy at all — a same-name COLLISION: N
#                     unrelated functions that merely share a generic identifier,
#                     e.g. `handler`, `txt`, `items`, `worker`. The scanner's
#                     brace extractor pairs their unrelated bodies and reports a
#                     coincidental overlap, so they can never be a "stale twin".)
#   SIM_AT_TRIAGE = the scan's body-overlap % when judged. If the live scan later
#     reports a DIFFERENT sim for a SAFE name, the fork drifted further since the
#     judgment — diff-divergent-fn.sh re-flags it as "SAFE↻ re-review", so a newly
#     introduced bug in a previously-safe copy can't hide behind an old verdict.
#     IGNORE and FORK rows are EXEMPT from this re-review: for IGNORE the collision
#     overlap is meaningless and drifts constantly; for FORK the drift is deliberate.
#     Both hide permanently regardless of sim. (SIM is recorded for reference only on
#     IGNORE and FORK rows.)
#   REASON  = one line on WHY it's safe / a collision (or what the bug is).
#
# Add a row the moment you finish judging a candidate. Keep reasons short.
# A name whose copies get CONSOLIDATED to identical simply stops appearing in the
# scan (no row needed); leave its row or delete it, both are harmless.
#
# NAME	STATUS	SIM	REASON
rateLimitOk	SAFE	83	different rate buckets (_commentbankBucket vs _devchatBucket), same checkRateLimit logic
parseClipItem	SAFE	52	browser (:scope querySelector) vs node (getDirectChildren) DOM fork; worker omits markers — nothing downstream consumes them
isNestedInClipItem	SAFE	57	parentElement/tagName (browser) vs parentNode/nodeName (node) — DOM API parity
buildFileDefs	SAFE	50	browser/node DOM fork: client querySelectorAll+':scope > name' vs worker getElementsByTagName+getText(tag). Re-glanced iter#3 after 2aa726b widened the client to ':scope >' (sim 66→50): behavior IDENTICAL — worker getText iterates childNodes matching nodeName===tag, i.e. direct-child-only, same as ':scope > name'. Not a descendant-search bug.
extractCameraId	SAFE	75	worker returns number (re-prefixed 'C' in a console.log ONLY, not persisted); client returns 'C'+digits for UI — each internally consistent
markStudied	SAFE	85	per-app localStorage keys (hk-studied vs nm-studied)
callEleven	SAFE	87	qss-tts wants Accept audio/mpeg + streaming-latency; karaoke wants JSON timestamps — intentional
outputFormat	SAFE	83	qss-tts passes precomputed styleByModel; karaoke inlines the same flash/non-flash style — equivalent
applyTheme	SAFE	78	pinglobe adds mapRef null-guard for its structure; mme's map const is declared before any applyTheme call site, so its unguarded map.isStyleLoaded() can't fire early
deleteKeyframe	SAFE	62	animatedcrazy (selectedKfId/saveState) vs mapkeys (selectedId/snapshotForUndo) — different app state models
listProjects	SAFE	75	different tables (hunter_projects vs projects) + column lists
snapshotTimestamp	SAFE	87	missing String() coerce but wrapped in try/catch (judged iteration #15)
parseFeedbackList	SAFE	87	both robust: JSON.parse(null) -> null -> [] (judged #15)
computeBearing	SAFE	77	pinglobe pins.js returns RADIANS (DEAD THREE.js orphan) vs geo-utils returns DEGREES (live) — each unit-correct in its own context
parseFCP7XML	SAFE	68	browser-vs-node DOM fork (judged #15); worker parseSequence intentionally omits audioTracks (not consumed)
getNum	SAFE	60	hunter browser-vs-worker DOM accessor fork (judged #15)
callGemini	SAFE	75	worker-vs-client fork (judged #15)
extractDateFromClipName	SAFE	50	worker-vs-client fork (judged #15)
deleteProject	SAFE	75	different tables (hunter_projects vs projects) — sibling of listProjects
play	SAFE	66	animatedcrazy vs mapkeys playback — different app DOM (playBtn vs getElementById) + isPlayingBack flag; mapkeys copy is the more-robust one (caches total, guards offset) — re-confirmed safe iter #29
stop	SAFE	66	animatedcrazy vs mapkeys; clamp(elapsed,0,total) vs Math.min(elapsed,total) — elapsed is always ≥0 here, so equivalent
cancel	SAFE	57	unrelated functions sharing a name: mapkeys map-label editor vs translation lib-name editor
reset	SAFE	57	animatedcrazy vs mapkeys playback reset — different app helpers (timeCur vs updateTimeDisplay)
whoAmI	SAFE	50	qss copy is the HARDENED one (headers.get guard, String() coerce, QSS_SUPABASE_URL); admin-users is Edge-runtime where headers.get always exists — already mutation-locked auth gate
escapeHtml	SAFE	66	strong copies (command-palette/SpeakerBlock/html-escape/sot-hunter) full 5-char [&<>"']; research/app.js missing ' is DEAD (defined @317, never called); workshop/index.js escapes text-only [&<>] but has a correct sibling escapeAttr for all 3 attribute sinks — deliberate two-fn split
